time="2022-02-27T08:07:33+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-02-27T08:07:33+08:00" level=info msg="RESTful API listening at: 127.0.0.1:46321"
time="2022-02-27T09:37:45+08:00" level=info msg="[TCP] 127.0.0.1:34886 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:46+08:00" level=info msg="[TCP] 127.0.0.1:34888 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:46+08:00" level=info msg="[TCP] 127.0.0.1:34880 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:46+08:00" level=info msg="[TCP] 127.0.0.1:34890 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:46+08:00" level=info msg="[TCP] 127.0.0.1:34860 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:46+08:00" level=info msg="[TCP] 127.0.0.1:34892 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:46+08:00" level=info msg="[TCP] 127.0.0.1:34894 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:46+08:00" level=info msg="[TCP] 127.0.0.1:34896 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:46+08:00" level=info msg="[TCP] 127.0.0.1:34900 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:47+08:00" level=info msg="[TCP] 127.0.0.1:34906 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:47+08:00" level=info msg="[TCP] 127.0.0.1:34908 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:47+08:00" level=info msg="[TCP] 127.0.0.1:34912 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:47+08:00" level=info msg="[TCP] 127.0.0.1:34898 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:47+08:00" level=info msg="[TCP] 127.0.0.1:34914 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:47+08:00" level=info msg="[TCP] 127.0.0.1:34916 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:47+08:00" level=info msg="[TCP] 127.0.0.1:34902 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:47+08:00" level=warning msg="[TCP] dial GLOBAL to github.com:443 error: 134.195.196.147:7307 connect error: dial tcp4 134.195.196.147:7307: i/o timeout"
time="2022-02-27T09:37:48+08:00" level=info msg="[TCP] 127.0.0.1:34904 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:48+08:00" level=info msg="[TCP] 127.0.0.1:34918 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:48+08:00" level=info msg="[TCP] 127.0.0.1:34910 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:49+08:00" level=info msg="[TCP] 127.0.0.1:34924 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:49+08:00" level=info msg="[TCP] 127.0.0.1:34920 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:49+08:00" level=info msg="[TCP] 127.0.0.1:34922 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:49+08:00" level=info msg="[TCP] 127.0.0.1:34926 --> github.com:443 using GLOBAL"
